date,,timestamp,open,high,low,close,volume,test,date,time,vwap
2021-04-15,179,2021-04-15 11:40:00+05:30,733.85,735.05,732.2,733.7,200353,0,2021-04-15,11:40:00+05:30,738.1403737285522
2021-04-15,180,2021-04-15 11:45:00+05:30,733.75,736.7,732.8,735.3,284375,0,2021-04-15,11:45:00+05:30,738.0792773540162
2021-04-15,181,2021-04-15 11:50:00+05:30,735.2,736.95,733.3,734.7,246655,0,2021-04-15,11:50:00+05:30,738.0173853724115
2021-04-15,182,2021-04-15 11:55:00+05:30,734.7,735.25,732.5,732.6,152785,0,2021-04-15,11:55:00+05:30,737.9566150165836
2021-04-15,183,2021-04-15 12:00:00+05:30,732.5,733.7,731.55,732.0,184537,0,2021-04-15,12:00:00+05:30,737.8769881545164
2021-04-15,184,2021-04-15 12:05:00+05:30,732.0,735.75,730.5,735.3,205554,0,2021-04-15,12:05:00+05:30,737.8391790945703
2021-04-15,185,2021-04-15 12:10:00+05:30,735.3,736.4,734.15,735.0,202344,0,2021-04-15,12:10:00+05:30,737.7987575289445
2021-04-15,186,2021-04-15 12:15:00+05:30,734.65,737.5,734.65,735.45,266813,0,2021-04-15,12:15:00+05:30,737.755476488258
2021-04-15,187,2021-04-15 12:20:00+05:30,735.45,735.45,733.0,734.8,190451,0,2021-04-15,12:20:00+05:30,737.7171068139687
2021-04-15,188,2021-04-15 12:25:00+05:30,735.0,735.8,733.1,733.75,108343,0,2021-04-15,12:25:00+05:30,737.6880226613846
2021-04-15,189,2021-04-15 12:30:00+05:30,733.7,734.95,733.0,734.75,94053,0,2021-04-15,12:30:00+05:30,737.6694422976273
2021-04-15,190,2021-04-15 12:35:00+05:30,734.75,736.6,734.3,735.8,138173,0,2021-04-15,12:35:00+05:30,737.6522337036589
